CATEGORY,START,STOP,MILES,DURATION in minutes
Business,Whitebridge,Waverly Place,7.7,16.0
Business,Waverly Place,Whitebridge,6.8,16.0
Personal,Whitebridge,Westpark Place,2.1,7.0
Business,Cary,Apex,3.8,10.0
Business,Apex,Cary,5.6,12.0
Business,Whitebridge,Hazelwood,2.6,8.0
Business,Hazelwood,Whitebridge,6.6,20.0
Business,Whitebridge,Wayne Ridge,8.0,23.0
Business,Wayne Ridge,Whitebridge,8.0,18.0
Personal,Whitebridge,Westpark Place,2.2,7.0
Business,Westpark Place,Whitebridge,2.3,6.0
Business,Whitebridge,Northwoods,5.2,14.0
Business,Cary,Raleigh,7.6,21.0
Business,Raleigh,Cary,17.3,40.0
Business,Cary,Durham,9.9,19.0
Business,Durham,Cary,9.9,17.0
Business,Cary,Durham,10.4,20.0
Business,Durham,Cary,10.9,22.0
Business,Cary,Raleigh,15.7,29.0
Business,Raleigh,Raleigh,4.9,12.0
Business,Fayetteville Street,Depot Historic District,0.8,6.0
Business,Raleigh,Cary,13.5,29.0
Business,Cary,Morrisville,1.9,6.0
Business,Morrisville,Cary,2.0,9.0
Business,Cary,Morrisville,6.5,15.0
Personal,Weston,Weston,4.2,15.0
Personal,Morrisville,Cary,3.5,10.0
Business,Whitebridge,Wayne Ridge,7.8,22.0
Business,Cary,Morrisville,7.8,21.0
Business,Morrisville,Cary,3.9,11.0
Business,Whitebridge,Edgehill Farms,2.8,10.0
Business,Cary,Raleigh,12.4,24.0
Business,Fayetteville Street,Meredith Townes,5.9,16.0
Business,Meredith Townes,Leesville Hollow,9.4,21.0
Business,Raleigh,Cary,11.9,26.0
Business,Whitebridge,Waverly Place,7.2,17.0
Business,Waverly Place,Whitebridge,7.6,25.0
Personal,Whitebridge,Whitebridge,1.6,12.0
Business,Cary,Morrisville,8.4,17.0
Business,East Austin,West University,12.8,29.0
Business,West University,South Congress,2.3,16.0
Business,South Congress,Arts District,1.6,10.0
Business,The Drag,Congress Ave District,2.0,12.0
Business,Congress Ave District,Downtown,0.8,7.0
Business,Downtown,Red River District,1.2,7.0
Business,Red River District,Downtown,1.0,8.0
Business,South Congress,The Drag,2.1,14.0
Business,The Drag,South Congress,2.2,9.0
Personal,South Congress,The Drag,1.9,10.0
Business,The Drag,Convention Center District,5.7,30.0
Business,South Congress,North Austin,8.4,20.0
Business,Georgian Acres,The Drag,6.2,21.0
Business,The Drag,North Austin,10.5,19.0
Business,North Austin,Coxville,7.2,12.0
Business,Coxville,The Drag,12.5,20.0
Business,The Drag,South Congress,2.0,15.0
Business,South Congress,The Drag,2.7,16.0
Business,The Drag,Convention Center District,2.0,12.0
Business,Downtown,The Drag,2.8,13.0
Business,The Drag,Congress Ave District,1.7,11.0
Business,Convention Center District,West University,2.0,11.0
Business,West University,Congress Ave District,2.1,13.0
Personal,Downtown,The Drag,1.7,11.0
Business,Austin,Katy,136.0,139.0
Business,Katy,Houston,30.2,42.0
Business,Midtown,Alief,15.5,42.0
Personal,Houston,Houston,4.9,22.0
Personal,Houston,Houston,12.6,31.0
Personal,Sharpstown,Midtown,10.4,16.0
Business,Midtown,Midtown,1.1,6.0
Business,Midtown,Midtown,1.1,8.0
Business,Midtown,Sharpstown,13.2,44.0
Business,Sharpstown,Sharpstown,1.0,6.0
Business,Sharpstown,Midtown,9.2,14.0
Business,Midtown,Sharpstown,9.4,15.0
Business,Houston,Sugar Land,12.0,23.0
Business,Sugar Land,Houston,35.1,56.0
Business,Houston,Galveston,36.5,64.0
Business,Galveston,Port Bolivar,3.1,15.0
Business,Port Bolivar,Port Bolivar,2.1,10.0
Business,Port Bolivar,Port Bolivar,1.2,8.0
Business,Port Bolivar,Galveston,7.5,36.0
Business,Galveston,Houston,57.0,66.0
Business,Midtown,Washington Avenue,5.9,11.0
Business,Washington Avenue,Midtown,6.2,14.0
Business,Midtown,Sharpstown,10.4,26.0
Personal,Sharpstown,Briar Meadow,1.2,6.0
Business,Briar Meadow,Midtown,9.6,21.0
Personal,Midtown,Downtown,1.0,5.0
Business,Downtown,Midtown,0.9,8.0
Business,Midtown,Sharpstown,8.8,16.0
Business,Sharpstown,Midtown,25.6,37.0
Business,Midtown,Greater Greenspoint,23.0,26.0
Personal,Morrisville,Cary,8.1,18.0
Personal,Whitebridge,Whitebridge,1.4,13.0
Personal,Whitebridge,Preston,1.7,5.0
Personal,Preston,Whitebridge,1.6,6.0
Personal,Whitebridge,Westpark Place,2.0,7.0
Business,Westpark Place,Whitebridge,2.2,6.0
Business,Cary,Latta,144.0,178.0
Business,Latta,Jacksonville,310.3,330.0
Business,Jacksonville,Kissimmee,201.0,-1275.0
Personal,Couples Glen,Isles of Buena Vista,6.7,24.0
Personal,Kissimmee,Orlando,8.8,30.0
Personal,Lake Reams,Lake Reams,1.2,4.0
Business,Lake Reams,Lake Reams,2.1,9.0
Business,Orlando,Kissimmee,6.6,12.0
Business,Kissimmee,Orlando,6.1,25.0
Personal,Orlando,Orlando,6.9,15.0
Personal,Orlando,Kissimmee,7.3,14.0
Personal,Kissimmee,Orlando,3.6,13.0
Personal,Couples Glen,Vista East,27.2,53.0
Personal,Orlando,Kissimmee,25.7,31.0
Personal,Kissimmee,Orlando,13.6,44.0
Personal,Sand Lake Commons,Sky Lake,6.2,19.0
Personal,Sky Lake,Sand Lake Commons,6.0,15.0
Personal,Orlando,Kissimmee,13.8,17.0
Business,Orlando,Kissimmee,28.8,50.0
Business,Kissimmee,Orlando,16.1,35.0
Business,Orlando,Kissimmee,16.4,32.0
Business,Kissimmee,Kissimmee,11.0,18.0
Business,Kissimmee,Orlando,15.5,48.0
Business,Orlando,Kissimmee,20.3,48.0
Personal,Kissimmee,Kissimmee,0.7,5.0
Personal,Kissimmee,Kissimmee,5.5,16.0
Personal,Kissimmee,Kissimmee,5.1,15.0
Business,Kissimmee,Daytona Beach,77.3,146.0
Business,Daytona Beach,Jacksonville,80.5,72.0
Business,Jacksonville,Ridgeland,174.2,178.0
Business,Ridgeland,Florence,144.0,-1297.0
Business,Florence,Cary,159.3,136.0
Business,Whitebridge,Wayne Ridge,7.9,16.0
Business,Wayne Ridge,Whitebridge,8.0,20.0
Business,Cary,Morrisville,6.1,19.0
Business,Morrisville,Cary,6.1,15.0
Business,Cary,Durham,10.5,18.0
Business,Durham,Cary,8.7,17.0
Business,Westpark Place,Whitebridge,1.8,8.0
Business,Cary,Raleigh,19.1,37.0
Business,Raleigh,Cary,18.6,42.0
Business,Whitebridge,Edgehill Farms,2.8,11.0
Business,Cary,Raleigh,8.9,19.0
Business,Meredith,Cedar Hill,7.5,20.0
Business,Raleigh,Morrisville,15.9,22.0
Business,Morrisville,Cary,6.5,19.0
Business,Cary,Holly Springs,15.3,40.0
Business,Holly Springs,Cary,13.7,43.0
Business,Cary,Raleigh,11.9,31.0
Business,Meredith Townes,Harden Place,1.4,3.0
Business,Raleigh,Cary,15.2,30.0
